Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
131,Shen,Top,47.60%,3.67%,0.09%,3.26,3.86,4.54,9.92,7,13341,24342,2255,153.4,0.67,1.99,10578,39,2
132,Shyvana,Jungle,52.50%,2.38%,0.05%,2.75,6.08,4.91,6.72,7,16456,32362,8226,57.3,7.5,58.98,11996,3,0
133,Singed,Top,56.87%,1.66%,0.07%,3.34,4.58,5.92,8.14,6,20711,29134,2409,190.0,1.29,1.13,11521,9,11
134,Sion,Top,52.23%,1.43%,0.02%,3.44,4.4,4.88,8.73,6,17712,29466,12794,174.6,0.83,1.82,11218,21,10
135,Sivir,ADC,50.72%,4.11%,0.03%,2.33,5.8,5.14,8.41,8,21839,18348,4410,218.8,1.76,6.43,12842,9,4
136,Skarner,Jungle,54.15%,0.60%,0.01%,2.6,4.32,4.59,9.61,5,10629,26615,7367,38.6,5.16,52.56,10946,29,8
137,Sona,Support,53.28%,5.38%,0.07%,4.33,2.3,5.31,13.47,5,10716,16015,11227,15.7,0.09,0.17,9646,6,2
138,Soraka,Support,54.39%,7.74%,0.92%,4.02,0.74,4.97,14.58,3,5007,13319,22312,13.6,0.05,0.13,9396,2,0
139,Swain,Middle,51.37%,0.76%,0.08%,5.73,6.18,5.41,8.03,7,23964,28747,10839,165.8,0.95,3.78,11526,30,4
140,Swain,Top,52.62%,1.10%,0.08%,4.82,4.86,5.29,7.27,6,22911,28338,10601,175.0,0.73,2.17,11296,19,4
141,Syndra,Middle,46.93%,4.43%,0.87%,3.11,6.68,6.06,6.21,8,20959,16579,1546,185.3,1.61,5.83,11954,25,2
142,Tahm Kench,Support,47.04%,1.04%,0.06%,3.02,2.18,5.02,11.19,4,8800,23904,6321,44.9,0.12,0.27,9124,24,2
143,Taliyah,Middle,48.63%,2.20%,0.07%,3.01,6.53,6.04,7.87,7,23199,18497,2228,174.3,1.69,5.81,11756,32,0
144,Talon,Middle,51.21%,2.59%,0.47%,3.63,9.19,6.45,5.95,9,22010,22830,3305,170.7,1.59,3.73,12364,19,4
145,Talon,Top,53.43%,0.68%,0.47%,5.9,8.47,6.33,5.26,8,22195,22687,3344,181.3,1.44,2.59,12391,23,6
146,Taric,Support,53.38%,2.94%,0.06%,3.26,1.37,4.62,14.13,4,5457,19047,10792,36.0,0.07,0.14,9133,16,2
147,Teemo,Top,51.38%,3.37%,0.73%,3.99,5.56,6.25,5.43,7,25147,20278,2668,185.0,1.16,2.08,11924,18,1
148,Thresh,Support,48.00%,15.71%,1.64%,5.62,2.02,5.45,14.02,4,7979,19466,2642,30.2,0.07,0.1,9010,4,2
149,Tristana,ADC,52.58%,17.95%,2.27%,2.95,7.39,5.03,6.49,9,21397,19369,4452,197.5,1.71,6.75,12742,2,0
150,Trundle,Jungle,50.97%,0.64%,0.05%,3.64,5.22,5.01,8.45,6,13080,35802,16133,48.3,4.2,45.37,11039,30,1
151,Trundle,Top,49.45%,1.86%,0.05%,2.77,4.4,5.04,6.4,5,15222,31607,10146,174.4,1.32,2.71,11147,32,1
152,Tryndamere,Jungle,48.89%,0.44%,0.31%,5.17,5.85,5.62,5.67,6,14748,36289,14696,72.7,7.19,52.03,12115,20,6
153,Tryndamere,Top,52.11%,2.38%,0.31%,3.66,5.7,5.57,4.24,8,17402,32298,8438,203.4,4.33,5.63,12571,12,3
154,Twisted Fate,Middle,53.57%,5.53%,0.26%,3.29,6.02,5.45,8.0,9,19262,18963,3030,169.6,1.26,5.31,12203,13,3
155,Twitch,ADC,53.34%,9.43%,3.11%,3.66,8.31,5.7,7.25,11,23214,19359,3534,183.1,1.53,6.66,12687,1,0
156,Twitch,Jungle,48.68%,1.56%,3.11%,4.77,8.25,6.75,7.14,8,19501,23954,6461,55.4,3.74,44.52,11885,13,0
157,Udyr,Jungle,47.70%,0.66%,0.01%,2.59,5.17,5.29,6.87,6,11794,30128,9492,49.5,5.55,49.04,11292,41,2
158,Urgot,Top,49.78%,2.06%,0.53%,2.47,6.74,5.55,5.55,7,19531,24705,2260,171.8,0.93,2.3,11671,27,7
159,Varus,ADC,49.95%,3.03%,0.02%,3.36,6.58,5.58,7.7,8,20816,18952,3818,195.1,1.48,6.6,12473,13,1
160,Vayne,ADC,51.50%,12.90%,1.83%,5.09,7.71,5.95,5.94,9,21639,20489,4469,190.1,1.29,5.46,12585,4,0
161,Veigar,Middle,48.99%,3.00%,0.15%,3.19,7.47,5.9,6.24,8,20892,16579,1706,175.8,1.3,4.67,11986,26,4
