Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
38,Galio,Support,47.99%,0.63%,0.38%,3.21,2.57,6.42,12.47,4,12904,22975,2949,56.7,0.49,1.07,10096,27,4
39,Galio,Top,45.53%,1.25%,0.38%,2.67,3.8,5.72,9.23,5,17188,24165,2573,152.1,0.81,1.89,10673,44,1
40,Gangplank,Top,48.63%,1.44%,0.08%,2.76,6.18,5.99,7.23,8,21105,23263,5541,181.3,1.3,3.42,12958,18,0
41,Garen,Top,53.46%,8.21%,1.25%,2.82,7.01,5.18,5.59,8,19376,30963,1411,157.2,1.26,1.93,11696,2,1
42,Gnar,Top,51.76%,3.38%,0.27%,2.2,5.79,5.81,7.43,7,20759,28505,1897,150.1,0.93,1.76,11240,16,1
43,Gragas,Jungle,49.15%,3.65%,0.13%,2.23,4.48,5.44,10.02,6,13463,30167,11995,39.1,4.59,43.3,10659,27,1
44,Graves,Jungle,48.69%,1.65%,0.09%,2.67,6.74,6.33,6.95,8,17878,24767,7164,69.6,6.77,49.02,12088,20,13
45,Hecarim,Jungle,49.32%,2.54%,0.14%,2.48,6.51,5.87,8.93,8,15270,34609,11346,50.4,4.6,44.66,11539,13,8
46,Heimerdinger,Middle,52.22%,1.41%,0.34%,3.88,6.45,6.96,7.08,8,25827,17504,1705,155.8,0.56,1.33,11633,30,3
47,Heimerdinger,Top,51.95%,1.13%,0.34%,4.41,5.8,6.81,6.09,8,26029,17598,1627,170.9,0.56,1.06,11807,32,1
48,Illaoi,Top,50.85%,2.61%,1.52%,3.07,5.95,6.34,5.38,7,23392,31112,6117,173.5,0.67,1.06,11666,7,1
49,Irelia,Top,49.81%,1.94%,0.16%,2.48,7.45,6.27,5.8,8,18738,28499,6928,158.3,0.9,1.8,11624,26,3
50,Janna,Support,55.36%,5.59%,0.65%,2.52,0.97,4.68,15.33,3,4884,15912,7511,14.4,0.05,0.08,9974,5,1
51,Jarvan IV,Jungle,55.05%,3.40%,0.22%,2.35,6.01,5.61,11.63,8,14372,27793,6958,46.9,4.15,41.5,11303,10,1
52,Jarvan IV,Top,53.36%,1.36%,0.22%,2.75,6.26,5.85,9.32,6,17776,24856,2166,155.8,1.45,2.98,11590,19,0
53,Jax,Jungle,53.26%,6.69%,1.50%,2.99,6.99,6.46,6.35,9,15259,26903,7419,50.0,4.77,41.66,11586,8,2
54,Jax,Top,49.70%,4.15%,1.50%,3.18,7.03,6.93,5.0,9,18398,25658,3298,149.4,1.67,3.49,11630,31,2
55,Jayce,Middle,49.69%,1.29%,0.45%,3.48,8.61,6.13,6.97,8,23527,21329,2034,156.2,1.5,4.52,12152,17,2
56,Jayce,Top,49.31%,2.10%,0.45%,2.87,7.25,6.32,6.7,7,22807,22208,1987,162.1,1.11,2.55,11934,21,4
57,Jhin,ADC,50.60%,7.39%,0.39%,3.53,7.89,6.0,8.82,10,22938,18519,3959,172.3,1.07,3.25,12576,8,0
58,Jinx,ADC,53.05%,11.19%,0.48%,4.06,7.94,6.27,7.88,9,21748,19084,3406,181.9,1.73,5.27,12835,6,1
59,Kalista,ADC,49.65%,2.45%,0.11%,2.28,8.05,6.55,6.92,8,20123,21260,3628,176.6,1.75,5.16,12482,17,1
60,Karma,Support,48.23%,2.36%,0.06%,2.73,2.45,6.03,12.9,5,12281,16291,2533,32.3,0.26,0.49,10019,24,3
61,Karthus,Middle,51.81%,0.61%,0.02%,2.1,8.05,7.18,9.02,10,30008,22682,4832,161.6,1.69,5.58,12485,5,2
62,Kassadin,Middle,50.87%,2.60%,0.44%,2.13,8.47,5.91,6.34,9,20349,23518,3719,139.7,1.05,2.95,11583,28,2
63,Katarina,Middle,48.78%,6.10%,1.85%,3.02,10.05,7.81,6.21,12,22046,21882,3669,138.4,1.42,2.93,11852,10,0
64,Kayle,Middle,50.59%,0.60%,0.09%,2.78,6.64,6.47,7.41,8,18886,23411,7065,159.7,1.73,5.2,11781,35,2
65,Kayle,Top,53.17%,1.13%,0.09%,2.53,5.49,6.0,6.87,8,18026,23149,7034,171.5,1.62,3.92,11791,27,5
66,Kayn,Jungle,50.77%,8.13%,1.99%,2.24,7.47,6.72,7.37,10,17318,32409,11485,50.9,6.17,46.84,11739,2,0
67,Kennen,Middle,50.71%,0.57%,0.14%,3.43,7.59,6.39,7.55,7,21670,20016,2044,135.9,0.66,1.53,11400,34,4
68,Kennen,Top,49.47%,1.42%,0.14%,2.55,6.13,6.09,6.59,7,20936,20117,2014,154.7,0.61,1.59,11323,40,2
69,Kha'Zix,Jungle,48.83%,4.67%,0.33%,2.53,8.21,6.3,6.31,10,16507,29174,10260,41.4,5.4,41.85,11641,15,7
70,Kindred,Jungle,50.26%,1.03%,0.03%,2.27,7.01,7.3,7.69,9,18563,25725,10691,52.0,6.65,35.72,11650,29,6
71,Kled,Top,51.21%,1.34%,0.19%,2.61,7.12,5.98,7.72,9,19727,35035,1954,142.1,1.24,2.11,11505,17,4
72,Kog'Maw,ADC,53.28%,2.07%,0.09%,2.33,8.29,6.63,7.32,11,25706,20873,3825,178.9,1.59,6.28,12954,7,0
73,LeBlanc,Middle,44.71%,2.32%,1.20%,2.3,7.68,6.33,6.21,8,18313,19247,3119,117.3,0.97,2.78,10818,40,6
74,Lee Sin,Jungle,46.82%,10.52%,2.29%,3.49,6.53,6.64,8.41,10,13648,29615,6751,38.5,4.76,38.72,11039,9,5
75,Leona,Support,54.57%,7.74%,1.08%,3.7,2.28,5.83,14.75,5,8436,22021,3335,42.2,0.08,0.14,9770,4,4
76,Lissandra,Middle,52.18%,0.68%,0.04%,2.1,6.42,6.58,8.83,6,20464,21904,3581,157.9,1.11,2.98,11701,31,9
77,Lucian,ADC,48.96%,6.96%,0.48%,3.04,7.89,6.06,7.16,8,21044,21175,3552,181.9,1.57,4.78,12698,12,1
78,Lucian,Middle,50.24%,2.12%,0.48%,4.45,7.53,5.87,6.0,9,21262,22418,2700,179.9,2.31,6.61,12362,20,4
