Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
158,Veigar,Support,48.78%,0.36%,0.08%,6.77,4.77,6.2,9.61,6,14644,15652,1366,43.5,0.61,1.53,10327,20,2
159,Vel'Koz,Middle,53.15%,2.17%,0.04%,7.31,6.58,5.14,7.55,8,24520,15395,1746,178.6,1.09,3.78,11805,12,5
160,Vel'Koz,Support,47.85%,0.77%,0.04%,8.15,4.26,5.83,9.69,10,20187,14582,1166,42.2,0.48,1.14,10319,15,5
161,Vi,Jungle,49.66%,2.61%,0.05%,4.54,5.73,5.61,7.54,7,13441,24491,6353,39.1,4.35,52.11,11015,34,1
162,Viktor,Middle,49.42%,3.00%,0.03%,4.76,6.16,5.19,6.15,9,22347,15324,1502,191.4,1.69,6.54,11830,26,1
163,Vladimir,Middle,52.46%,4.18%,1.74%,5.48,6.45,5.09,6.01,8,22553,26527,18906,183.8,1.38,3.44,11458,6,3
164,Vladimir,Top,51.27%,2.24%,1.74%,6.07,5.11,5.22,5.6,7,21527,26570,18975,188.0,1.03,2.58,11219,8,1
165,Volibear,Jungle,47.44%,0.50%,0.01%,3.93,5.27,4.85,8.43,6,12635,32458,6969,41.2,2.93,45.44,10668,37,0
166,Warwick,Jungle,52.16%,4.56%,0.82%,5.0,6.53,5.62,7.83,9,13050,35306,16087,41.1,4.66,48.01,11159,14,5
167,Wukong,Jungle,48.72%,0.94%,0.06%,5.85,6.56,5.54,7.01,7,15689,25512,7734,48.0,3.36,47.9,11166,35,5
168,Wukong,Top,51.83%,1.33%,0.06%,6.23,7.09,5.8,5.76,8,19474,21313,2048,164.1,0.84,2.63,11563,38,9
169,Xayah,ADC,50.30%,10.78%,1.04%,4.44,6.32,5.13,6.97,9,21536,17964,4071,197.7,1.57,6.87,12262,6,2
170,Xerath,Middle,50.43%,1.97%,0.03%,4.73,6.37,4.78,7.87,7,24494,14110,1575,184.1,1.1,4.6,11817,15,8
171,Xin Zhao,Jungle,50.16%,1.64%,0.03%,3.86,5.96,6.07,6.33,7,14962,31129,13118,42.9,4.19,45.42,11040,36,4
172,Yasuo,Middle,49.23%,4.45%,3.68%,9.48,6.68,6.48,5.31,9,18044,20377,1451,187.3,3.17,6.84,11810,17,1
173,Yasuo,Top,50.82%,4.74%,3.68%,9.3,5.77,6.43,4.78,8,17858,20971,1429,197.8,2.45,4.76,11869,7,5
174,Yorick,Top,50.33%,0.84%,0.04%,5.23,4.68,5.01,5.26,6,19267,25819,5371,186.9,0.85,1.61,11370,30,4
175,Zac,Jungle,47.95%,3.60%,2.60%,4.87,3.59,4.2,11.22,5,11002,33645,26876,35.6,3.69,51.25,10091,13,3
176,Zed,Middle,49.45%,7.02%,4.52%,5.77,8.36,5.85,5.22,9,21045,19371,2095,176.8,1.12,3.21,11994,1,0
177,Ziggs,Middle,52.40%,1.92%,0.02%,4.63,5.9,5.13,7.41,8,25497,15164,1606,193.0,1.72,6.32,12155,11,2
178,Zilean,Middle,53.87%,0.73%,0.04%,6.95,3.94,3.81,9.5,4,17169,18631,8557,177.2,1.54,3.85,10960,28,1
179,Zilean,Support,50.42%,1.12%,0.04%,6.03,2.31,4.45,12.74,4,10891,15626,6412,35.6,0.39,0.68,9857,10,3
180,Zyra,Support,49.71%,1.78%,0.06%,6.27,3.44,5.96,10.66,5,20039,15487,1287,36.1,0.34,0.74,10268,12,4
